Class,Label,Cluster,Key_Words
Paintings,Warli,0,"['art', 'tribal', 'maharashtra', 'painting', 'traditional', 'folk style', 'rural themes', 'murals', 'cultural heritage']"
Paintings,Warli,1,"['art', 'tribal', 'maharashtra', 'painting', 'traditional', 'folk style', 'rural themes', 'murals', 'cultural heritage']"
Paintings,Kangra,0,"['fort', 'himachal pradesh', 'kangra valley', 'history', 'architecture', 'ancient fort', 'earthquake ruins', 'strategic battles', 'maharaja sansar chand']"
Paintings,Kangra,1,"['fort', 'himachal pradesh', 'kangra valley', 'history', 'architecture', 'ancient fort', 'earthquake ruins', 'strategic battles', 'maharaja sansar chand']"
Paintings,Kangra,2,"['fort', 'himachal pradesh', 'kangra valley', 'history', 'architecture', 'ancient fort', 'earthquake ruins', 'strategic battles', 'maharaja sansar chand']"
Paintings,Kalamkari,2,"['art', 'textile', 'andhra pradesh', 'painting', 'traditional', 'hand-painted', 'organic dyes', 'Srikalahasti style', 'fabric storytelling']"
Paintings,Kalamkari,3,"['art', 'textile', 'andhra pradesh', 'painting', 'traditional', 'hand-painted', 'organic dyes', 'Srikalahasti style', 'fabric storytelling']"
Paintings,Kalamkari,0,"['art', 'textile', 'andhra pradesh', 'painting', 'traditional', 'hand-painted', 'organic dyes', 'Srikalahasti style', 'fabric storytelling']"
Paintings,Kalamkari,1,"['art', 'textile', 'andhra pradesh', 'painting', 'traditional', 'hand-painted', 'organic dyes', 'Srikalahasti style', 'fabric storytelling']"
Paintings,pattachitra,1,"['art', 'painting', 'odisha', 'folk', 'traditional', 'mythology', 'cloth-based scroll', 'storytelling', 'vibrant colors']"
Paintings,pattachitra,0,"['art', 'painting', 'odisha', 'folk', 'traditional', 'mythology', 'cloth-based scroll', 'storytelling', 'vibrant colors']"
Paintings,pattachitra,2,"['art', 'painting', 'odisha', 'folk', 'traditional', 'mythology', 'cloth-based scroll', 'storytelling', 'vibrant colors']"
Paintings,Mural,0,"['art', 'painting', 'wall', 'mural', 'artist', 'public art', 'fresco', 'large scale', 'visual storytelling']"
Paintings,Mural,2,"['art', 'painting', 'wall', 'mural', 'artist', 'public art', 'fresco', 'large scale', 'visual storytelling']"
Paintings,Mural,1,"['art', 'painting', 'wall', 'mural', 'artist', 'public art', 'fresco', 'large scale', 'visual storytelling']"
Paintings,Portrait,2,"['art', 'painting', 'portrait', 'canvas', 'artist', 'likeness', 'individual', 'expression', 'visual representation']"
Paintings,Portrait,0,"['art', 'painting', 'portrait', 'canvas', 'artist', 'likeness', 'individual', 'expression', 'visual representation']"
Paintings,Portrait,1,"['art', 'painting', 'portrait', 'canvas', 'artist', 'likeness', 'individual', 'expression', 'visual representation']"
Paintings,Portrait,3,"['art', 'painting', 'portrait', 'canvas', 'artist', 'likeness', 'individual', 'expression', 'visual representation']"
